id;name;type;icon;img_public_id
1;Table;31264;Versatile Integration bypassing;metrics e-commerce Fresh
2;programming orchestrate Nevada;76615;Steel transmitting Nevada;harness Georgia Hat
3;Program mesh;41287;Ecuador front-end Verde;Loan Music
4;Bedfordshire Investor;75834;archive;Future real-time Rubber
5;Thailand throughput;51243;connecting systems;networks
6;Avon XML;94557;SQL Avon;azure
7;feed Kids;11317;TCP;synergistic blue Chief
8;Nebraska;91308;Optimization;uniform Sleek
9;Franc;88489;Armenian;Cambridgeshire
10;circuit;4152;Chicken;Account auxiliary
