id;shopify_id;title;description;handle
1;41676;facilitate Fantastic South;feed turn-key;Strategist Maldives bandwidth-monitored
2;95670;Computers Loan Hawaii;quantify Computer;sticky Gorgeous Oklahoma
3;51508;orchid Franc Virtual;Computer;Focused metrics
4;69564;turquoise holistic Steel;capacitor ADP;Table invoice
5;94488;Baby;parsing Turkish Cambridgeshire;transmitting
6;61230;teal program;CSS Illinois;Idaho
7;80537;1080p lavender Cayman;Versatile backing;Botswana
8;28440;deposit;BEAC aggregate Soap;deposit Frozen
9;55628;Rwanda Quality;infrastructures Ergonomic mindshare;Metal
10;90027;hack Colorado Hat;XSS Mississippi Gorgeous;Senior
