id;name;price;discount;weight;point;description;liked
1;Bedfordshire Rubber;44624;6018;77159;90246;Polarised disintermediate services;92739
2;synergies bypass;38259;50251;94727;84016;multi-byte Tuna Plastic;91769
3;Tuna uniform Gourde;86923;71522;8328;5523;Avon;16176
4;Circle Iowa;94783;16090;11106;68392;systems users Group;84005
5;integrate harness structure;78524;70651;37545;32463;Granite Response Helena;17470
6;Concrete interface;18233;23113;29151;90298;Hill Incredible;85509
7;Kenya Grocery transmitting;82158;73888;59852;6142;Jewelery architectures Jewelery;44940
8;bypass Rustic hierarchy;82610;94307;95930;75796;rich enterprise;45977
9;collaborative Bedfordshire;94159;1381;49094;34555;payment;11924
10;Pre-emptive;15518;84447;17936;82310;Bike Handcrafted Avon;36806
