id;order_id;product_id;product_type;avatar;name;price;point;qty;discount;subtotal_amount;total_amount;variant_id;shopify_variant_id;shopify_product_id;shopify_order_id;shopify_id
1;52870;31586;17805;multi-tasking invoice;Product Tokelau;75099;28181;3101;98449;20203;28164;31310;58083;43063;10420;58430
2;74129;14941;13455;Plastic Configuration;Concrete engage;7163;86338;80964;37349;66180;29392;54478;60854;53484;85443;39823
3;15140;67341;97604;Games;Outdoors Comoros;18531;81710;18924;31437;29112;46868;83218;95656;21299;13686;40693
4;79631;68860;97645;Analyst;override;79642;60521;89754;1471;57387;27550;45907;29807;86086;70790;88129
5;86950;50266;83611;auxiliary 24/7 Manager;Multi-channelled;23503;13821;88238;28869;54602;87918;72267;41772;10601;99804;88595
6;86131;65653;88204;high-level Card Investment;Bedfordshire quantifying transmit;6429;18774;18988;8159;56270;40301;39032;43399;11861;63162;7034
7;14155;6407;206;PCI SCSI SCSI;Arkansas;67708;75429;67010;41861;53093;90363;58726;67251;43364;85195;23626
8;48555;73418;38434;Carolina;Extended Account;81341;8491;41600;7702;98332;85807;19674;71415;76595;7575;98452
9;33378;53060;83732;indexing;UIC-Franc;98540;87244;9899;87410;63507;91509;93546;62721;17751;56846;64354
10;24567;95433;23608;Handmade circuit;interfaces Supervisor;48370;27600;5866;31554;49918;91106;77360;34902;27217;12848;61821
