id;name;point;description;liked;shopify_id;vendor_id;category_id;is_combo;discount;bought;price
1;Steel;31485;calculating cross-platform Principal;35091;34790;81149;69097;16316;9665;76146;89830
2;Dynamic Pound withdrawal;88209;Unbranded Soap;63081;44325;83023;40879;70307;57853;43291;9654
3;Infrastructure;91058;compressing withdrawal green;70316;51217;18327;32770;54278;48018;16516;29161
4;Small digital Oklahoma;37638;throughput;46269;94963;80588;95487;35518;58781;89275;20505
5;Sports COM Implementation;5182;Shirt Ethiopia;66238;45935;14557;63453;86573;17814;96920;15521
6;Keyboard;88935;Ball pixel;28408;60076;78380;83666;68319;16934;78950;33734
7;multi-byte Underpass project;82676;Fantastic;4074;50702;80217;94611;8835;44109;86012;25082
8;lavender application grey;31592;Automotive systems Gorgeous;6953;93852;5859;10526;64809;12655;27583;42304
9;Consultant Automotive;53352;Zimbabwe Games Balboa;96045;75091;79006;57208;7184;34414;1352;62245
10;IB;52857;Industrial Concrete;67786;7332;26210;90493;33918;80631;85001;10899
