id;name;key_name;value;rule;is_number;is_object
1;payment Tunisian invoice;Account mission-critical mindshare;orange groupware;Kip Direct;2485;66800
2;Croatian Incredible;invoice Personal;Brook York haptic;Valleys;41046;98774
3;bypass efficient;generating Loan;Pants Handmade Assistant;emulation cyan;66901;44391
4;reintermediate Cocos Technician;Incredible cross-platform;invoice Incredible Movies;deploy web-readiness Inlet;72255;80226
5;Practical Loan user-centric;system-worthy Card;California Generic;Direct Credit;71065;5938
6;grid-enabled;Chair Plastic reboot;Distributed;Games quantifying Soft;83446;22232
7;JBOD compressing;black Plastic Agent;Ball;clicks-and-mortar backing Cotton;42533;47810
8;Soft;program;up Intelligent Bedfordshire;back;41430;43088
9;deposit Garden Market;parse Shoes Dynamic;Berkshire pixel strategic;program Rubber;12894;23569
10;Hat transmitter;optical Checking Granite;Card invoice;Account;2859;54692
