id;product_id;shopify_id;title;price;discount;option_1;option_2;option_3;image_id;weight;compare_at_price
1;37586;14874;SCSI Frozen Rupee;93596;21032;orange Handmade Vincent;invoice Plastic;Architect Alaska synthesize;35138;46723;87295
2;71727;92115;turquoise Market;31985;92793;Buckinghamshire deposit maroon;azure Rubber Implementation;multi-byte Fish;89478;88373;10274
3;27502;54729;Bedfordshire Yen Awesome;24418;57633;Grocery Account payment;Bedfordshire Personal;Computer;71882;35737;46973
4;47285;15414;red Salad Mobility;13655;40965;back;Games e-commerce;Czech needs-based Oklahoma;16857;88573;68505
5;93883;93925;Bedfordshire;29384;59258;reinvent;Small Dinar;Cotton up;20288;99515;14842
6;74159;42238;Legacy capacitor schemas;522;88432;Granite Keyboard;Dynamic;Representative Valleys port;83027;97444;23889
7;99453;39608;input Beauty;27710;146;Executive;HDD Interface front-end;Metal Account;75135;75246;59556
8;84142;7424;synthesize Soft firewall;85456;43406;program;task-force hack;Incredible circuit Avon;35921;11999;85696
9;80324;67596;virtual Niue;31426;84322;Account Rustic;mindshare;synthesize withdrawal Hollow;87889;72736;79121
10;69184;35429;technologies;23262;37871;Lek Representative;Web Toys;Washington Account Paraguay;51943;30970;32959
